"","year","country","total","ECA","MNA","SSA","SAS","EAP","LAC","per_capita"
"6",2012,"China",197.761292,6.376792,11.138077,163.420861,0,6.138166,10.687396,0.146414469587879
"127",2008,"Hungary",1.3662525,0.648588,0,0.7176645,0,0,0,0.136105490353438
"262",2003,"Hungary",1.295932,0.234712,0.086467,0.838535,0,0.136218,0,0.127935766557099
"432",2009,"Poland",4.47865714285714,0.171428571428571,0,4.30722857142857,0,0,0,0.117391059557838
"337",1999,"Czech Republic",1.182072,0.54068,0.233854,0.364676,0,0.006858,0.036004,0.114944388585609
"235",2002,"Hungary",1.072596,0.205047,0.054665,0.678975,0,0.133909,0,0.105584938408884
"208",2001,"Hungary",1.045362,0.337642,0.092925,0.424702,0,0.190093,0,0.102611455364848
"316",2001,"Hungary",1.045362,0.337642,0.092925,0.424702,0,0.190093,0,0.102611455364848
"108",2005,"Poland",3.42379854545454,0.531531272727273,0,2.89226727272727,0,0,0,0.0897093824007554
"33",2012,"Turkey",6.245207,0.475501,0.349349,4.950173,0,0.152137,0.318047,0.0843979647426316
"216",2001,"Poland",2.946918,0.958311,0.254523,1.204638,0,0.529446,0,0.0770474833819092
"324",2001,"Poland",2.946918,0.958311,0.254523,1.204638,0,0.529446,0,0.0770474833819092
"270",2003,"Poland",2.496474,0.453922,0.167822,1.605012,0,0.269718,0,0.0653449050728748
"243",2002,"Poland",2.45789,0.460693,0.118022,1.57321,0,0.305965,0,0.0642915667766072
"289",2000,"Hungary",0.51197,0.14913,0.042674,0.186208,0,0.133958,0,0.0501392081125292
"343",1999,"Hungary",0.304899,0.152995,0.046597,0.096945,0,0.00136,0.007002,0.0297824768279067
"424",2009,"Hungary",0.292808571428571,0,1.71428571428571e-06,0.292806857142857,0,0,0,0.0292146887300265
"397",1998,"Hungary",0.284085,0.137768,0.047108,0.086837,0,0.005053,0.007319,0.0276708774205991
"15",2012,"Indonesia",5.711698,0.198257,0.358867,4.368595,0,0.058684,0.727295,0.0231370049129564
"297",2000,"Poland",0.841585,0.245026,0.069768,0.306392,0,0.220399,0,0.0219972597554397
"405",1998,"Poland",0.589751,0.282338,0.097982,0.183421,0,0.010659,0.015351,0.0152534377336588
"351",1999,"Poland",0.52854,0.261961,0.080253,0.171749,0,0.002346,0.012231,0.0136713992511848
"14",2012,"India",9.185433,0.496176,0.864081,6.597912,0,0.251037,0.976227,0.00742745334151446
"84",2010,"South Korea",210.961381714286,6.78118457142857,13.3858217142857,160.358832,0,6.80674285714286,23.6288005714286,0
"381",2007,"South Korea",201.250053818182,13.3097978181818,24.5328338181818,143.351364,0,5.23992109090909,14.8161370909091,0
"27",2012,"Russia",160.93769,1.030232,11.178388,137.963449,0,2.436634,8.328987,0
"192",2006,"South Korea",70.0421727272727,14.6427665454545,2.44258036363636,42.6679745454545,0,0.492754909090909,9.79609636363636,0
"435",2009,"South Korea",50.4818948571429,0.465408,18.1170445714286,31.8994422857143,0,0,0,0
"111",2005,"South Korea",45.0012207272727,3.67782,1.64861236363636,39.6747883636364,0,0,0,0
"273",2003,"South Korea",27.667448,5.03743,1.862731,17.77358,0,2.993707,0,0
"165",2004,"South Korea",26.0605363636364,2.78740581818182,0,23.0631829090909,0,0.209947636363636,0,0
"246",2002,"South Korea",23.110789,3.934683,1.196664,14.877196,0,3.102246,0,0
"138",2008,"South Korea",17.83299,7.299561,4.954599,5.57883,0,0,0,0
"219",2001,"South Korea",17.394198,6.307985,1.496764,6.657222,0,2.932227,0,0
"327",2001,"South Korea",17.394198,6.307985,1.496764,6.657222,0,2.932227,0,0
"300",2000,"South Korea",4.286207,1.248642,0.357697,1.558601,0,1.121267,0,0
"56",2011,"Slovakia",3.962362,0.156598,0.230517,3.126903,0,0.08733,0.361014,0
"26",2012,"Slovakia",3.341086,0.148719,0.239369,2.554139,0,0.100132,0.298727,0
"83",2010,"Slovakia",3.258576,0.245509714285714,0.249953142857143,2.37260914285714,0,0.075336,0.315168,0
"354",1999,"South Korea",2.523913,1.269446,0.386258,0.799004,0,0.011267,0.057938,0
"408",1998,"South Korea",2.271141,1.103138,0.377495,0.694711,0,0.040555,0.055242,0
"137",2008,"Slovakia",1.777098,0.1750875,0.0407775,1.1131965,0,0.399585,0.0484515,0
"380",2007,"Slovakia",1.14010036363636,0.141344727272727,0.238470545454545,0.665952,0,0.0486032727272727,0.0457298181818182,0
"110",2005,"Slovakia",1.08760145454545,0.153514909090909,0.00991090909090909,0.799214181818182,0,0.00650618181818182,0.118455272727273,0
"434",2009,"Slovakia",0.813738857142857,0.138042857142857,0.00751885714285714,0.649126285714286,0,0.0190508571428571,0,0
"191",2006,"Slovakia",0.809701090909091,0.0745450909090909,0.0194541818181818,0.637413818181818,0,0,0.078288,0
"164",2004,"Slovakia",0.390504,0.0879501818181818,0.0108490909090909,0.272636727272727,0,0.019068,0,0
"218",2001,"Slovakia",0.367977,0.119974,0.032316,0.149338,0,0.066349,0,0
"326",2001,"Slovakia",0.367977,0.119974,0.032316,0.149338,0,0.066349,0,0
"245",2002,"Slovakia",0.329841,0.062091,0.015911,0.210597,0,0.041242,0,0
"272",2003,"Slovakia",0.28491,0.051655,0.019089,0.183484,0,0.030682,0,0
"407",1998,"Slovakia",0.281155,0.146247,0.042408,0.079793,0,0.002251,0.010456,0
"299",2000,"Slovakia",0.151272,0.04402,0.012469,0.055129,0,0.039654,0,0
"29",2012,"South Korea",0.147884,0.006502,0.011326,0.11397,0,0.00329,0.012796,0
"353",1999,"Slovakia",0.099794,0.049011,0.015082,0.032942,0,0.000442,0.002317,0
"57",2011,"South Korea",0.077616,0.006764,0.006604,0.054374,0,0.000989,0.008885,0
"202",2001,"Czech Republic",0,0,0,0,0,0,0,0
"215",2001,"Norway",0,0,0,0,0,0,0,0
"222",2001,"Switzerland",0,0,0,0,0,0,0,0
"229",2002,"Czech Republic",0,0,0,0,0,0,0,0
"242",2002,"Norway",0,0,0,0,0,0,0,0
"249",2002,"Switzerland",0,0,0,0,0,0,0,0
"256",2003,"Czech Republic",0,0,0,0,0,0,0,0
"269",2003,"Norway",0,0,0,0,0,0,0,0
"303",2000,"Switzerland",0,0,0,0,0,0,0,0
"310",2001,"Czech Republic",0,0,0,0,0,0,0,0
"323",2001,"Norway",0,0,0,0,0,0,0,0
"330",2001,"Switzerland",0,0,0,0,0,0,0,0
"357",1999,"Switzerland",0,0,0,0,0,0,0,0
"411",1998,"Switzerland",0,0,0,0,0,0,0,0
