"","year","mean"
"1",1998,0.779147358631925
"2",1999,0.765454952313873
"3",2000,1.68504311971697
"4",2001,2.41523207525628
"5",2002,1.76531201248215
"6",2003,1.69440118180204
"7",2004,3.66797309147225
"8",2005,3.93947184076126
"9",2006,4.11916848881989
"10",2007,5.31931531126309
"11",2008,7.76534239604065
"12",2009,4.71621995006133
"13",2010,9.18170247000869
"14",2011,7.55495301000147
"15",2012,3.91140109229875
